source_prefix	target_prefix	source_size	target_size	absolute_overlap	normalized_overlap
fovt	ncro	313	2543	306	0.97764
fovt	wbphenotype	313	2633	306	0.97764
cmo	spd	3025	757	740	0.97754
lbo	mro	1108	51242	1083	0.97744
geno	pw	221	2600	216	0.97738
apo	omp	309	2006	302	0.97735
chmo	cio	2908	44	43	0.97727
cio	cryoem	44	111	43	0.97727
cio	cteno	44	151	43	0.97727
cio	efo	44	15540	43	0.97727
cio	icepo	44	51	43	0.97727
cio	lpt	44	481	43	0.97727
cio	ma	44	3230	43	0.97727
cio	mmo	44	695	43	0.97727
cio	rs	44	5020	43	0.97727
cio	vsmo	44	1902	43	0.97727
cio	wbls	44	774	43	0.97727
cio	wbphenotype	44	2633	43	0.97727
oarcs	omp	307	2006	300	0.9772
flopo	poro	23226	607	593	0.97694
flopo	nomen	23226	260	254	0.97692
lbo	pw	1108	2600	1082	0.97653
ma	wbphenotype	3230	2633	2571	0.97645
cmo	wbphenotype	3025	2633	2570	0.97607
ddpheno	pw	961	2600	938	0.97607
chmo	colao	2908	83	81	0.9759
cmo	ino	3025	166	162	0.9759
colao	hao	83	2465	81	0.9759
colao	ma	83	3230	81	0.9759
colao	vsmo	83	1902	81	0.9759
colao	wbls	83	774	81	0.9759
colao	zp	83	36602	81	0.9759
cvdo	nbo	290	928	283	0.97586
cmo	mmo	3025	695	678	0.97554
cmo	sbo	3025	694	677	0.9755
flopo	sbo	23226	694	677	0.9755
rxno	xco	653	675	637	0.9755
pw	wbphenotype	2600	2633	2536	0.97538
chmo	cro	2908	81	79	0.97531
cmo	cro	3025	81	79	0.97531
cro	cteno	81	151	79	0.97531
cro	hao	81	2465	79	0.97531
cro	ma	81	3230	79	0.97531
cro	wbls	81	774	79	0.97531
cro	zp	81	36602	79	0.97531
poro	pw	607	2600	592	0.97529
mop	zeco	3582	161	157	0.97516
cmo	ddpheno	3025	961	937	0.97503
cmpo	flopo	399	23226	389	0.97494
cmpo	nbo	399	928	389	0.97494
mop	spd	3582	757	738	0.9749
hao	wbphenotype	2465	2633	2403	0.97485
cmo	xco	3025	675	658	0.97481
flopo	xco	23226	675	658	0.97481
cmo	planp	3025	673	656	0.97474
mro	ogms	51242	117	114	0.97436
nbo	ogms	928	117	114	0.97436
ogms	wbphenotype	117	2633	114	0.97436
flopo	mmo	23226	695	677	0.9741
cmo	rxno	3025	653	636	0.97397
flopo	rxno	23226	653	636	0.97397
oarcs	rxno	307	653	299	0.97394
mco	pw	839	2600	817	0.97378
hog	vbo	1176	18556	1145	0.97364
cmo	cteno	3025	151	147	0.97351
cteno	wbphenotype	151	2633	147	0.97351
cmo	exo	3025	150	146	0.97333
maxo	vbo	1387	18556	1350	0.97332
clao	vbo	1495	18556	1455	0.97324
fao	pw	112	2600	109	0.97321
nomen	wbphenotype	260	2633	253	0.97308
chmo	wbphenotype	2908	2633	2562	0.97303
cmo	cryoem	3025	111	108	0.97297
cryoem	cteno	111	151	108	0.97297
cteno	psdo	151	74	72	0.97297
flopo	lbo	23226	1108	1078	0.97292
cmo	geno	3025	221	215	0.97285
flopo	geno	23226	221	215	0.97285
pw	spd	2600	757	736	0.97226
nbo	zp	928	36602	902	0.97198
planp	pw	673	2600	654	0.97177
flopo	phipo	23226	920	894	0.97174
fbcv	flopo	1132	23226	1100	0.97173
bfo	hao	35	2465	34	0.97143
bfo	mmo	35	695	34	0.97143
bfo	nbo	35	928	34	0.97143
bfo	to	35	1606	34	0.97143
bfo	vsmo	35	1902	34	0.97143
bfo	vto	35	107005	34	0.97143
bfo	wbphenotype	35	2633	34	0.97143
bfo	zp	35	36602	34	0.97143
cmo	mmusdv	3025	105	102	0.97143
cryoem	mmusdv	111	105	102	0.97143
flopo	fovt	23226	313	304	0.97125
bspo	zp	139	36602	135	0.97122
hsapdv	rxno	243	653	236	0.97119
flopo	hog	23226	1176	1142	0.97109
flopo	one	23226	69	67	0.97101
flopo	spd	23226	757	735	0.97094
flopo	peco	23226	550	534	0.97091
apo	mro	309	51242	300	0.97087
nbo	oarcs	928	307	298	0.97068
dermo	ncro	3401	2543	2468	0.97051
flopo	wbls	23226	774	751	0.97028
pw	wbls	2600	774	751	0.97028
flopo	mco	23226	839	814	0.9702
gecko	hao	67	2465	65	0.97015
gecko	pw	67	2600	65	0.97015
gecko	xco	67	675	65	0.97015
ino	rxno	166	653	161	0.96988
ddpheno	flopo	961	23226	932	0.96982
cmo	lepao	3025	132	128	0.9697
lepao	wbphenotype	132	2633	128	0.9697
cdao	cmo	131	3025	127	0.96947
cdao	cteno	131	151	127	0.96947
cdao	hao	131	2465	127	0.96947
cdao	wbphenotype	131	2633	127	0.96947
bto	ddanat	6511	130	126	0.96923
chmo	ddanat	2908	130	126	0.96923
chmo	hom	2908	65	63	0.96923
ddanat	hom	130	65	63	0.96923
ddanat	lbo	130	1108	126	0.96923
ddanat	mop	130	3582	126	0.96923
ddanat	rs	130	5020	126	0.96923
hom	zp	65	36602	63	0.96923
clao	cvdo	1495	290	281	0.96897
mco	zeco	839	161	156	0.96894
vbo	zeco	18556	161	156	0.96894
flopo	symp	23226	897	869	0.96878
chmo	trans	2908	32	31	0.96875
clyh	trans	257	32	31	0.96875
cryoem	trans	111	32	31	0.96875
cteno	trans	151	32	31	0.96875
efo	trans	15540	32	31	0.96875
hom	trans	65	32	31	0.96875
icepo	trans	51	32	31	0.96875
lpt	trans	481	32	31	0.96875
ma	trans	3230	32	31	0.96875
mmusdv	trans	105	32	31	0.96875
poro	trans	607	32	31	0.96875
rs	trans	5020	32	31	0.96875
trans	vsmo	32	1902	31	0.96875
trans	wbls	32	774	31	0.96875
trans	wbphenotype	32	2633	31	0.96875
trans	xao	32	1720	31	0.96875
clao	geno	1495	221	214	0.96833
clao	flopo	1495	23226	1447	0.96789
apo	nbo	309	928	299	0.96764
mro	oarcs	51242	307	297	0.96743
clao	planp	1495	673	651	0.96731
flopo	planp	23226	673	651	0.96731
chmo	taxrank	2908	61	59	0.96721
ddanat	taxrank	130	61	59	0.96721
fao	taxrank	112	61	59	0.96721
ma	taxrank	3230	61	59	0.96721
taxrank	zp	61	36602	59	0.96721
flopo	hsapdv	23226	243	235	0.96708
hsapdv	wbphenotype	243	2633	235	0.96708
flopo	wbphenotype	23226	2633	2546	0.96696
mmo	pw	695	2600	672	0.96691
pw	sbo	2600	694	671	0.96686
exo	rxno	150	653	145	0.96667
eco	fypo	2007	7674	1940	0.96662
clao	lbo	1495	1108	1071	0.96661
cmo	omit	3025	89	86	0.96629
cteno	omit	151	89	86	0.96629
efo	omit	15540	89	86	0.96629
hao	omit	2465	89	86	0.96629
pw	xco	2600	675	652	0.96593
cmo	ogms	3025	117	113	0.96581
fypo	ogms	7674	117	113	0.96581
mco	vbo	839	18556	810	0.96544
mro	nomen	51242	260	251	0.96538
nomen	pw	260	2600	251	0.96538
clao	phipo	1495	920	888	0.96522
clao	wbphenotype	1495	2633	1443	0.96522
phipo	vbo	920	18556	888	0.96522
flopo	rs	23226	5020	4845	0.96514
hog	wbphenotype	1176	2633	1135	0.96514
cmpo	pw	399	2600	385	0.96491
pw	rxno	2600	653	630	0.96478
flopo	hao	23226	2465	2378	0.96471
flopo	pw	23226	2600	2508	0.96462
apo	flopo	309	23226	298	0.9644
apo	wbphenotype	309	2633	298	0.9644
clao	spd	1495	757	730	0.96433
flopo	mop	23226	3582	3454	0.96427
clao	mco	1495	839	809	0.96424
oarcs	wbphenotype	307	2633	296	0.96417
cryoem	ddanat	111	130	107	0.96396
cryoem	hao	111	2465	107	0.96396
cryoem	wbphenotype	111	2633	107	0.96396
colao	cteno	83	151	80	0.96386
colao	ddanat	83	130	80	0.96386
ino	mro	166	51242	160	0.96386
aism	fypo	553	7674	533	0.96383
flopo	zfa	23226	3079	2967	0.96362
flopo	ma	23226	3230	3112	0.96347
cmo	flopo	3025	23226	2914	0.96331
dermo	flopo	3401	23226	3276	0.96325
bspo	zfs	139	54	52	0.96296
bto	zfs	6511	54	52	0.96296
cmo	zfs	3025	54	52	0.96296
colao	zfs	83	54	52	0.96296
cro	ddanat	81	130	78	0.96296
cro	dermo	81	3401	78	0.96296
cro	to	81	1606	78	0.96296
cro	wbphenotype	81	2633	78	0.96296
efo	zfs	15540	54	52	0.96296
hao	zfs	2465	54	52	0.96296
hsapdv	nbo	243	928	234	0.96296
lbo	zfs	1108	54	52	0.96296
lepao	zfs	132	54	52	0.96296
mop	zfs	3582	54	52	0.96296
oarcs	zfs	307	54	52	0.96296
sbo	zfs	694	54	52	0.96296
taxrank	zfs	61	54	52	0.96296
xco	zfs	675	54	52	0.96296
zfs	zp	54	36602	52	0.96296
chmo	flopo	2908	23226	2800	0.96286
dermo	ma	3401	3230	3110	0.96285
flopo	maxo	23226	1387	1335	0.96251
cmpo	wbphenotype	399	2633	384	0.96241
cteno	lepao	151	132	127	0.96212
hao	lepao	2465	132	127	0.96212
cteno	mmusdv	151	105	101	0.9619
hao	mmusdv	2465	105	101	0.9619
mmusdv	pw	105	2600	101	0.9619
mmusdv	wbphenotype	105	2633	101	0.9619
flopo	ncro	23226	2543	2446	0.96186
cdao	fypo	131	7674	126	0.96183
cdao	mro	131	51242	126	0.96183
mco	rxno	839	653	628	0.96172
fovt	so	313	2386	301	0.96166
ddanat	ma	130	3230	125	0.96154
wbphenotype	xco	2633	675	649	0.96148
clao	wbls	1495	774	744	0.96124
apo	rxno	309	653	297	0.96117
mmo	wbphenotype	695	2633	668	0.96115
bto	flopo	6511	23226	6258	0.96114
sbo	wbphenotype	694	2633	667	0.9611
cmo	dermo	3025	3401	2907	0.96099
flopo	oarcs	23226	307	295	0.96091
apo	icepo	309	51	49	0.96078
clyh	icepo	257	51	49	0.96078
icepo	xao	51	1720	49	0.96078
lbo	wbphenotype	1108	2633	1064	0.96029
cteno	mro	151	51242	145	0.96026
cteno	rxno	151	653	145	0.96026
rxno	wbphenotype	653	2633	627	0.96018
dermo	vsmo	3401	1902	1826	0.96004
flopo	vsmo	23226	1902	1826	0.96004
exo	hao	150	2465	144	0.96
exo	mro	150	51242	144	0.96
exo	wbphenotype	150	2633	144	0.96
cmpo	rxno	399	653	383	0.9599
flopo	fypo	23226	7674	7366	0.95986
mco	mmo	839	695	667	0.95971
mco	sbo	839	694	666	0.95965
flopo	wbbt	23226	6763	6489	0.95949
fypo	psdo	7674	74	71	0.95946
hao	psdo	2465	74	71	0.95946
nbo	psdo	928	74	71	0.95946
psdo	pw	74	2600	71	0.95946
psdo	rxno	74	653	71	0.95946
psdo	to	74	1606	71	0.95946
psdo	wbphenotype	74	2633	71	0.95946
geno	to	221	1606	212	0.95928
hsapdv	mro	243	51242	233	0.95885
cdno	vbo	799	18556	766	0.9587
wbls	wbphenotype	774	2633	742	0.95866
mco	xco	839	675	647	0.95852
fovt	zfa	313	3079	300	0.95847
ddpheno	vbo	961	18556	921	0.95838
ddpheno	wbphenotype	961	2633	921	0.95838
clao	mmo	1495	695	666	0.95827
clao	sbo	1495	694	665	0.95821
eco	peco	2007	550	527	0.95818
flopo	omp	23226	2006	1922	0.95813
mro	pato	51242	1875	1796	0.95787
ino	nbo	166	928	159	0.95783
ino	wbphenotype	166	2633	159	0.95783
spd	wbphenotype	757	2633	725	0.95773
dermo	pw	3401	2600	2490	0.95769
lbo	vbo	1108	18556	1061	0.95758
flopo	olatdv	23226	47	45	0.95745
fypo	olatdv	7674	47	45	0.95745
mro	olatdv	51242	47	45	0.95745
nbo	olatdv	928	47	45	0.95745
olatdv	rxno	47	653	45	0.95745
olatdv	to	47	1606	45	0.95745
olatdv	wbphenotype	47	2633	45	0.95745
olatdv	zfa	47	3079	45	0.95745
dermo	hao	3401	2465	2360	0.9574
cteno	ogms	151	117	112	0.95726
ogms	rxno	117	653	112	0.95726
poro	wbphenotype	607	2633	581	0.95717
clao	rxno	1495	653	625	0.95712
clao	xco	1495	675	646	0.95704
bspo	dermo	139	3401	133	0.95683
wbphenotype	zeco	2633	161	154	0.95652
ecocore	envo	182	3360	174	0.95604
dermo	fovt	3401	313	299	0.95527
ddpheno	hao	961	2465	918	0.95525
cmo	gecko	3025	67	64	0.95522
dermo	gecko	3401	67	64	0.95522
exo	gecko	150	67	64	0.95522
gecko	hsapdv	67	243	64	0.95522
gecko	ino	67	166	64	0.95522
cvdo	vbo	290	18556	277	0.95517
ddanat	omit	130	89	85	0.95506
dermo	omit	3401	89	85	0.95506
omit	rxno	89	653	85	0.95506
fbbt	fbdv	17570	200	191	0.955
cryoem	dermo	111	3401	106	0.95495
cryoem	rxno	111	653	106	0.95495
geno	vbo	221	18556	211	0.95475
flopo	nbo	23226	928	886	0.95474
mco	wbphenotype	839	2633	801	0.95471
amphx	cio	399	44	42	0.95455
aro	cio	6610	44	42	0.95455
cio	clyh	44	257	42	0.95455
cio	ddanat	44	130	42	0.95455
cio	fao	44	112	42	0.95455
cio	xao	44	1720	42	0.95455
cio	zp	44	36602	42	0.95455
dermo	lepao	3401	132	126	0.95455
lepao	rxno	132	653	126	0.95455
cdao	dermo	131	3401	125	0.9542
cdao	pw	131	2600	125	0.9542
cdao	rxno	131	653	125	0.9542
aro	hom	6610	65	62	0.95385
ddanat	mro	130	51242	124	0.95385
ddanat	sbo	130	694	124	0.95385
ddanat	xco	130	675	124	0.95385
dermo	nomen	3401	260	248	0.95385
hom	pw	65	2600	62	0.95385
eco	flopo	2007	23226	1914	0.95366
cteno	fypo	151	7674	144	0.95364
cteno	hao	151	2465	144	0.95364
cteno	nbo	151	928	144	0.95364
amphx	clyh	399	257	245	0.95331
phipo	wbphenotype	920	2633	877	0.95326
dermo	hog	3401	1176	1121	0.95323
hao	hog	2465	1176	1121	0.95323
chmo	dermo	2908	3401	2770	0.95254
planp	vbo	673	18556	641	0.95245
dermo	mmusdv	3401	105	100	0.95238
dermo	pdumdv	3401	21	20	0.95238
fypo	pdumdv	7674	21	20	0.95238
mmusdv	xao	105	1720	100	0.95238
fovt	fypo	313	7674	298	0.95208
colao	dermo	83	3401	79	0.95181
fypo	ino	7674	166	158	0.95181
cvdo	wbphenotype	290	2633	276	0.95172
clao	hao	1495	2465	1422	0.95117
bto	fypo	6511	7674	6192	0.95101
planp	wbphenotype	673	2633	640	0.95097
apo	taxrank	309	61	58	0.95082
aro	taxrank	6610	61	58	0.95082
cro	pw	81	2600	77	0.95062
cro	rxno	81	653	77	0.95062
lbo	to	1108	1606	1053	0.95036
flopo	zeco	23226	161	153	0.95031
hsapdv	zeco	243	161	153	0.95031
vsmo	wbphenotype	1902	2633	1807	0.95005
mco	to	839	1606	797	0.94994
spd	vbo	757	18556	719	0.9498
bspo	hao	139	2465	132	0.94964
bspo	pw	139	2600	132	0.94964
planp	to	673	1606	639	0.94948
clao	poro	1495	607	576	0.94893
dermo	ogms	3401	117	111	0.94872
hao	ogms	2465	117	111	0.94872
hsapdv	ogms	243	117	111	0.94872
ino	ogms	166	117	111	0.94872
ogms	to	117	1606	111	0.94872
apo	pw	309	2600	293	0.94822
mco	planp	839	673	638	0.94799
clao	dermo	1495	3401	1417	0.94783
cmpo	mco	399	839	378	0.94737
cteno	ino	151	166	143	0.94702
cteno	pw	151	2600	143	0.94702
fypo	lepao	7674	132	125	0.94697
ino	lepao	166	132	125	0.94697
lepao	mro	132	51242	125	0.94697
lepao	xao	132	1720	125	0.94697
dermo	phipo	3401	920	871	0.94674
chebi	goche	163657	75	71	0.94667
exo	fypo	150	7674	142	0.94667
exo	nbo	150	928	142	0.94667
cdao	ino	131	166	124	0.94656
cdao	nbo	131	928	124	0.94656
cdao	xao	131	1720	124	0.94656
hsapdv	pw	243	2600	230	0.9465
cmo	ddanat	3025	130	123	0.94615
ddanat	mmo	130	695	123	0.94615
ddanat	wbls	130	774	123	0.94615
cmo	psdo	3025	74	70	0.94595
cryoem	fypo	111	7674	105	0.94595
cryoem	ino	111	166	105	0.94595
cryoem	mro	111	51242	105	0.94595
cryoem	pw	111	2600	105	0.94595
cryoem	xao	111	1720	105	0.94595
dermo	psdo	3401	74	70	0.94595
hsapdv	psdo	243	74	70	0.94595
clao	ddpheno	1495	961	909	0.94589
ddpheno	dermo	961	3401	909	0.94589
mco	spd	839	757	716	0.94584
spd	to	757	1606	716	0.94584
fypo	plana	7674	646	611	0.94582
hao	ino	2465	166	157	0.94578
ino	lpt	166	481	157	0.94578
ino	pw	166	2600	157	0.94578
vbo	wbls	18556	774	732	0.94574
cl	geno	2659	221	209	0.9457
geno	wbphenotype	221	2633	209	0.9457
mondo	mro	22784	51242	21544	0.94558
dermo	wbphenotype	3401	2633	2489	0.94531
vbo	vt	18556	3677	3475	0.94506
amphx	efo	399	15540	377	0.94486
cvdo	hao	290	2465	274	0.94483
oarcs	pw	307	2600	290	0.94463
cryoem	zfs	111	54	51	0.94444
cteno	zfs	151	54	51	0.94444
lpt	zfs	481	54	51	0.94444
ma	zfs	3230	54	51	0.94444
mmo	zfs	695	54	51	0.94444
rs	zfs	5020	54	51	0.94444
vsmo	zfs	1902	54	51	0.94444
wbls	zfs	774	54	51	0.94444
wbphenotype	zfs	2633	54	51	0.94444
clao	zeco	1495	161	152	0.9441
pw	zeco	2600	161	152	0.9441
vt	zp	3677	36602	3468	0.94316
mco	wbls	839	774	730	0.94315
to	wbls	1606	774	730	0.94315
bfo	cteno	35	151	33	0.94286
bfo	exo	35	150	33	0.94286
bfo	hsapdv	35	243	33	0.94286
mmusdv	rxno	105	653	99	0.94286
plana	vbo	646	18556	609	0.94272
fypo	rs	7674	5020	4732	0.94263
mro	vt	51242	3677	3466	0.94262
bspo	mro	139	51242	131	0.94245
phipo	zfa	920	3079	867	0.94239
clao	cmpo	1495	399	376	0.94236
dermo	spd	3401	757	713	0.94188
to	zp	1606	36602	1512	0.94147
dermo	lbo	3401	1108	1043	0.94134
so	zp	2386	36602	2246	0.94132
hao	phipo	2465	920	866	0.9413
aro	icepo	6610	51	48	0.94118
icepo	ino	51	166	48	0.94118
icepo	pw	51	2600	48	0.94118
dermo	planp	3401	673	633	0.94056
clao	gecko	1495	67	63	0.9403
gecko	xao	67	1720	63	0.9403
rxno	vbo	653	18556	614	0.94028
mro	to	51242	1606	1510	0.94022
exo	ogms	150	117	110	0.94017
ogms	pw	117	2600	110	0.94017
pw	vsmo	2600	1902	1788	0.94006
cteno	exo	151	150	141	0.94
exo	ino	150	166	141	0.94
exo	pw	150	2600	141	0.94
colao	mro	83	51242	78	0.93976
colao	rxno	83	653	78	0.93976
lepao	nbo	132	928	124	0.93939
lepao	pw	132	2600	124	0.93939
lepao	to	132	1606	124	0.93939
clao	fovt	1495	313	294	0.9393
bto	so	6511	2386	2241	0.93923
poro	vbo	607	18556	570	0.93904
cdao	to	131	1606	123	0.93893
fypo	omp	7674	2006	1883	0.93868
clao	nomen	1495	260	244	0.93846
ddanat	wbphenotype	130	2633	122	0.93846
dermo	hom	3401	65	61	0.93846
hom	hsapdv	65	243	61	0.93846
hom	ino	65	166	61	0.93846
hom	mro	65	51242	61	0.93846
hom	vt	65	3677	61	0.93846
hom	xao	65	1720	61	0.93846
cro	ino	81	166	76	0.93827
cro	mro	81	51242	76	0.93827
cro	xao	81	1720	76	0.93827
mmo	vbo	695	18556	652	0.93813
dermo	mco	3401	839	787	0.93802
dermo	wbls	3401	774	726	0.93798
cvdo	zfa	290	3079	272	0.93793
clyh	efo	257	15540	241	0.93774
amphx	trans	399	32	30	0.9375
apo	trans	309	32	30	0.9375
aro	trans	6610	32	30	0.9375
ddanat	trans	130	32	30	0.9375
eco	trans	2007	32	30	0.9375
exo	trans	150	32	30	0.9375
fao	fypo	112	7674	105	0.9375
fao	mro	112	51242	105	0.9375
fao	trans	112	32	30	0.9375
hp	trans	16614	32	30	0.9375
nbo	trans	928	32	30	0.9375
plana	trans	646	32	30	0.9375
pw	trans	2600	32	30	0.9375
trans	vto	32	107005	30	0.9375
trans	zp	32	36602	30	0.9375
cdao	cryoem	131	111	104	0.93694
cryoem	nbo	111	928	104	0.93694
cryoem	to	111	1606	104	0.93694
hao	lbo	2465	1108	1038	0.93682
aism	vbo	553	18556	518	0.93671
mro	xao	51242	1720	1611	0.93663
sbo	vbo	694	18556	650	0.9366
clao	olatdv	1495	47	44	0.93617
mco	olatdv	839	47	44	0.93617
olatdv	so	47	2386	44	0.93617
clao	zfa	1495	3079	1399	0.93579
dermo	rxno	3401	653	611	0.93568
bspo	nbo	139	928	130	0.93525
bspo	rxno	139	653	130	0.93525
bspo	to	139	1606	130	0.93525
mmo	to	695	1606	650	0.93525
sbo	to	694	1606	649	0.93516
cmpo	dermo	399	3401	373	0.93484
to	xco	1606	675	631	0.93481
vbo	xco	18556	675	631	0.93481
hao	nomen	2465	260	243	0.93462
nomen	to	260	1606	243	0.93462
cvdo	to	290	1606	271	0.93448
amphx	taxrank	399	61	57	0.93443
clyh	taxrank	257	61	57	0.93443
dermo	taxrank	3401	61	57	0.93443
exo	taxrank	150	61	57	0.93443
ino	taxrank	166	61	57	0.93443
pw	taxrank	2600	61	57	0.93443
taxrank	vt	61	3677	57	0.93443
taxrank	xao	61	1720	57	0.93443
fypo	ncro	7674	2543	2376	0.93433
hsapdv	to	243	1606	227	0.93416
lbo	zfa	1108	3079	1035	0.93412
nbo	wbls	928	774	723	0.93411
dermo	mmo	3401	695	649	0.93381
cteno	dermo	151	3401	141	0.93377
cteno	to	151	1606	141	0.93377
dermo	ino	3401	166	155	0.93373
ino	to	166	1606	155	0.93373
dermo	sbo	3401	694	648	0.93372
cdao	mmusdv	131	105	98	0.93333
ddanat	mmusdv	130	105	98	0.93333
dermo	exo	3401	150	140	0.93333
dermo	xco	3401	675	630	0.93333
fypo	mmusdv	7674	105	98	0.93333
hsapdv	mmusdv	243	105	98	0.93333
ino	mmusdv	166	105	98	0.93333
mmusdv	mro	105	51242	98	0.93333
mmusdv	to	105	1606	98	0.93333
hao	planp	2465	673	628	0.93314
fovt	uberon	313	14351	292	0.93291
fypo	hog	7674	1176	1097	0.93282
rxno	to	653	1606	609	0.93262
cdao	omit	131	89	83	0.93258
fypo	omit	7674	89	83	0.93258
ino	omit	166	89	83	0.93258
mro	omit	51242	89	83	0.93258
omit	pw	89	2600	83	0.93258
omit	uberon	89	14351	83	0.93258
omit	xao	89	1720	83	0.93258
bto	xao	6511	1720	1604	0.93256
so	vbo	2386	18556	2225	0.93252
aism	psdo	553	74	69	0.93243
cl	psdo	2659	74	69	0.93243
exo	psdo	150	74	69	0.93243
psdo	spd	74	757	69	0.93243
psdo	xao	74	1720	69	0.93243
ddpheno	zfa	961	3079	896	0.93236
dermo	geno	3401	221	206	0.93213
fypo	geno	7674	221	206	0.93213
geno	hao	221	2465	206	0.93213
apo	hao	309	2465	288	0.93204
apo	to	309	1606	288	0.93204
apo	cio	309	44	41	0.93182
cio	dermo	44	3401	41	0.93182
cio	exo	44	150	41	0.93182
cio	nbo	44	928	41	0.93182
cio	pw	44	2600	41	0.93182
exo	lepao	150	132	123	0.93182
to	zeco	1606	161	150	0.93168
aism	ogms	553	117	109	0.93162
hao	oarcs	2465	307	286	0.9316
hao	wbls	2465	774	721	0.93152
hao	spd	2465	757	705	0.93131
cdao	exo	131	150	122	0.9313
cdao	lepao	131	132	122	0.9313
rs	so	5020	2386	2221	0.93085
fypo	mop	7674	3582	3333	0.93049
ddpheno	so	961	2386	894	0.93028
planp	zfa	673	3079	626	0.93016
spd	zfa	757	3079	704	0.92999
xao	zp	1720	36602	1599	0.92965
efo	lpt	15540	481	447	0.92931
mro	so	51242	2386	2217	0.92917
dermo	poro	3401	607	564	0.92916
hao	poro	2465	607	564	0.92916
clao	fypo	1495	7674	1389	0.9291
apo	dermo	309	3401	287	0.9288
nbo	planp	928	673	625	0.92868
mco	zfa	839	3079	779	0.92849
oarcs	to	307	1606	285	0.92834
fypo	phipo	7674	920	854	0.92826
bspo	fypo	139	7674	129	0.92806
hao	rxno	2465	653	606	0.92802
aro	colao	6610	83	77	0.92771
colao	exo	83	150	77	0.92771
colao	ino	83	166	77	0.92771
colao	omit	83	89	77	0.92771
colao	pw	83	2600	77	0.92771
colao	xao	83	1720	77	0.92771
cvdo	rxno	290	653	269	0.92759
cl	one	2659	69	64	0.92754
poro	to	607	1606	563	0.92751
hao	mco	2465	839	778	0.92729
cteno	hsapdv	151	243	140	0.92715
dermo	fypo	3401	7674	3153	0.92708
hog	zfa	1176	3079	1090	0.92687
exo	hsapdv	150	243	139	0.92667
exo	to	150	1606	139	0.92667
fovt	wbbt	313	6763	290	0.92652
fypo	ma	7674	3230	2992	0.92632
ma	so	3230	2386	2210	0.92624
amphx	zfs	399	54	50	0.92593
cdao	cro	131	81	75	0.92593
chmo	zfs	2908	54	50	0.92593
cro	fypo	81	7674	75	0.92593
cro	mmusdv	81	105	75	0.92593
ddanat	zfs	130	54	50	0.92593
fao	zfs	112	54	50	0.92593
hao	hsapdv	2465	243	225	0.92593
xao	zfs	1720	54	50	0.92593
zfa	zfs	3079	54	50	0.92593
flopo	zp	23226	36602	21502	0.92577
gecko	to	67	1606	62	0.92537
flopo	to	23226	1606	1486	0.92528
hao	mmo	2465	695	643	0.92518
ddpheno	fypo	961	7674	889	0.92508
dermo	oarcs	3401	307	284	0.92508
hao	sbo	2465	694	642	0.92507
cmo	so	3025	2386	2207	0.92498
cvdo	dermo	290	3401	268	0.92414
mmusdv	nbo	105	928	97	0.92381
cdao	hsapdv	131	243	121	0.92366
spd	wbls	757	774	699	0.92338
fovt	vbo	313	18556	289	0.92332
chmo	so	2908	2386	2203	0.9233
apo	hom	309	65	60	0.92308
ddanat	hao	130	2465	120	0.92308
ddanat	pw	130	2600	120	0.92308
geno	zfa	221	3079	204	0.92308
hom	hp	65	16614	60	0.92308
hom	mmusdv	65	105	60	0.92308
hom	rxno	65	653	60	0.92308
hom	to	65	1606	60	0.92308
ogms	xao	117	1720	108	0.92308
hao	xco	2465	675	623	0.92296
apo	mco	309	839	285	0.92233
cmpo	to	399	1606	368	0.92231
oarcs	xao	307	1720	283	0.92182
dermo	hsapdv	3401	243	224	0.92181
fypo	hsapdv	7674	243	224	0.92181
hsapdv	ino	243	166	153	0.92169
ino	xao	166	1720	153	0.92169
cmo	fypo	3025	7674	2788	0.92165
ddpheno	icepo	961	51	47	0.92157
dermo	icepo	3401	51	47	0.92157
exo	icepo	150	51	47	0.92157
fypo	icepo	7674	51	47	0.92157
hp	icepo	16614	51	47	0.92157
icepo	mro	51	51242	47	0.92157
icepo	nbo	51	928	47	0.92157
icepo	to	51	1606	47	0.92157
icepo	vt	51	3677	47	0.92157
icepo	zfa	51	3079	47	0.92157
vbo	xao	18556	1720	1585	0.92151
apo	omit	309	89	82	0.92135
nbo	omit	928	89	82	0.92135
omit	to	89	1606	82	0.92135
omit	vsmo	89	1902	82	0.92135
pw	so	2600	2386	2198	0.92121
wbls	zfa	774	3079	713	0.92119
aism	cteno	553	151	139	0.92053
cteno	xao	151	1720	139	0.92053
rxno	zfa	653	3079	601	0.92037
efo	peco	15540	550	506	0.92
exo	xao	150	1720	138	0.92
cmpo	hao	399	2465	367	0.9198
so	zeco	2386	161	148	0.91925
nomen	omp	260	2006	239	0.91923
hog	so	1176	2386	1081	0.91922
apo	clao	309	1495	284	0.91909
ino	psdo	166	74	68	0.91892
mro	psdo	51242	74	68	0.91892
clao	oarcs	1495	307	282	0.91857
planp	wbls	673	774	618	0.91828
mro	taxrank	51242	61	56	0.91803
rxno	taxrank	653	61	56	0.91803
taxrank	to	61	1606	56	0.91803
plana	rs	646	5020	593	0.91796
fypo	lbo	7674	1108	1016	0.91697
fypo	pw	7674	2600	2384	0.91692
planp	spd	673	757	617	0.91679
sbo	zfa	694	3079	636	0.91643
bto	plana	6511	646	592	0.91641
apo	colao	309	83	76	0.91566
cdao	colao	131	83	76	0.91566
